Phrase,Pick
"How did I lose my virginity?",1
"Why can't I sleep at night?",1
"What's that smell?",1
"I got 99 problems but _ ain't one.",1
"Maybe she's born with it. Maybe it's _.",1
"What's the next Happy Meal® toy?",1
"Here is the church. Here is the steeple. Open the doors and there is _.",1
"It's a pity that kids these days are all getting involved with _.",1
"During his childhood, Salvador Dalí produced hundreds of paintings of _.",1
"Alternative medicine is now embracing the curative powers of _.",1
"Rumous has it that Vladimir Putin's favourite delicacy is _ stuffed with _.",2
"What's that sound?",1
"What ended my last relationship?",1
"The Natural History Museum has just opened an interactive exhibit on _.",1
"I drink to forget _.",1
"Dear Agony Aunt, I'm having some trouble with _ and would like your advice.",1
"What is Batman's guilty pleasure?",1
"This is the way the world ends.\nThis is the way the world ends.\nNot with a bang, but with _.",1
"What is a girl's best friend?",1
"Daddy, why is mummy crying?",1
"_. That's how I want to die.",1
"For my next trick, I will pull _ out of _.",2
"I'm sorry, sir, but I couldn't complete my homework because of _.",1
"_ is a slippery slope that leads to _.",2
"The theme for next year's Eurovision Song Contest is ""We are _.""",1
"Nobody expects the Spanish inquisition. Our chief weapons are fear, surprise and, _.",1
"In Wormwood Scrubs, word is you can trade 200 cigarettes for _.",1
"What's the most emo?",1
"In 1,000 years when paper money is a distant memory, how will we pay for goods and services?",1
"What's the next superhero/sidekick duo?",2
"In M. Night Shyamalan's new movie, Bruce Willis discovers that _ had really been _ all along.",2
"A romantic, candlelit dinner would be incomplete without _.",1
"_? Jim'll fix it!",1
"White people like _.",1
"When I am Prime Minister of the United Kingdom, I will create the Ministry of _.",1
"Next from J.K. Rowling: Harry Potter and the Chamber of _.",1
"What kept Margaret Thatcher busy in her waning years?",1
"In a world ravaged by _, our only solace is _.",1
"War!\n\nWhat is it good for?",1
"During sex, I like to think about _.",1
"What are my parents hiding from me?",1
"What will always get you laid?",1
"In her latest feature-length film, Tracy Beaker struggles with _ for the first time.",1
"Airport security guidelines now prohibit _ on airplanes.",1
"What don't you want to find in your Kung Pao Chicken?",1
"What will I bring back in time to convince people that I am a powerful wizard?",1
"How am I maintaining my relationship status?",1
"_. It's a trap!",1
"The school trip was completely ruined by _.",1
"What did I bring back from Amsterdam?",1
"After the earthquake, Sean Penn brought _ to the people of Haiti.",1
"TFL apologises for the delay in train service due to _.",1
"Step 1: _.\nStep 2: _.\nStep 3: Profit.",2
"And the BAFTA for _ goes to _.",2
"But before I kill you, Mr. Bond, I must show you _.",1
"What gives me uncontrollable gas?",1
"What do old people smell like?",1
"Next on Sky Sports: The World Championship of _.",1
"When Pharoah remained unmoved, Moses called down a plague of _.",1
"What's my secret power?",1
"What's there a ton of in heaven?",1
"What would grandma find disturbing, yet oddly charming?",1
"I never truly understood _ until I encountered _.",2
"What did the U.S. airdrop to the children of Afghanistan?",1
"What helps Obama unwind?",1
"What did Vin Diesel eat for dinner?",1
"_: good to the last drop.",1
"Why am I sticky?",1
"What gets better with age?",1
"_: kid-tested, mother-approved.",1
"Channel 5's new reality show features eight washed-up celebrities living with _.",1
"Instead of coal, Father Christmas now gives the bad children _.",1
"Studies show that lab rats navigate mazes 50% faster after being exposed to _.",1
"Life for American Indians was forever changed when the white man introduced them to _.",1
"Make a haiku.",3,2
"I do not know with what weapons World War Ⅲ will be fought, but World War Ⅳ will be fought with _.",1
"Why do I hurt all over?",1
"What am I giving up for Lent?",1
"In Michael Jackson's final moments, he thought about _.",1
"Coming to the West End this year, _: The Musical.",1
"_: Once you pop, you just can't stop.",1
"Channel 4 presents _, the story of _.",2
"When I am a billionaire, I shall erect a 50-foot statue to commemorate _.",1
"When I was tripping on acid, _ turned into _.",2
"That's right, I killed _. How, you ask? _.",2
"What are school administrators using to curb rampant teenage pregnancy?",1
"_ + _ = _.",3,2
"What never fails to liven up the party?",1
"What's the new fad diet?",1
"_. That's why mums go to Iceland.",1